Date_UTC,Time_UTC,Date_CST,Time_CST,Lake_Visible,LES_Exist
20121013,20:00,20121013,14:00,Y,Y
20121013,21:00,20121013,15:00,Y,Y
20121013,22:00,20121013,16:00,Y,Y
20121013,23:00,20121013,17:00,Y,Y
20121014,0:00,20121013,18:00,N,N
20121014,1:00,20121013,19:00,N,N
20121014,2:00,20121013,20:00,N,N
20121014,3:00,20121013,21:00,N,N
20121014,4:00,20121013,22:00,N,N
20121014,5:00,20121013,23:00,N,N
20121014,6:00,20121014,0:00,N,N
20121014,7:00,20121014,1:00,N,N
20121014,8:00,20121014,2:00,N,N
20121014,9:00,20121014,3:00,N,N
20121014,10:00,20121014,4:00,N,N
20121014,11:00,20121014,5:00,N,N
20121014,12:00,20121014,6:00,N,N
20121014,13:00,20121014,7:00,N,N
20121014,14:00,20121014,8:00,N,N
20121014,15:00,20121014,9:00,Y,Y
20121014,16:00,20121014,10:00,Y,Y
20121014,17:00,20121014,11:00,Y,Y
20121014,18:00,20121014,12:00,Y,Y
20121014,19:00,20121014,13:00,Y,Y
20121014,20:00,20121014,14:00,Y,Y
20121014,21:00,20121014,15:00,Y,Y
20121014,22:00,20121014,16:00,Y,Y
20121014,23:00,20121014,17:00,Y,Y
20121015,0:00,20121014,18:00,N,N
20121015,1:00,20121014,19:00,N,N
20121015,2:00,20121014,20:00,N,N
20121015,3:00,20121014,21:00,N,N
20121015,4:00,20121014,22:00,N,N
20121015,5:00,20121014,23:00,N,N
20121015,6:00,20121015,0:00,N,N
20121015,7:00,20121015,1:00,N,N
20121015,8:00,20121015,2:00,N,N
20121015,9:00,20121015,3:00,N,N
20121015,10:00,20121015,4:00,N,N
20121015,11:00,20121015,5:00,N,N
20121015,12:00,20121015,6:00,N,N
20121015,13:00,20121015,7:00,N,N
20121015,14:00,20121015,8:00,N,N
20121015,15:00,20121015,9:00,Y,Y
20121015,16:00,20121015,10:00,Y,Y
20121015,17:00,20121015,11:00,Y,Y
20121015,18:00,20121015,12:00,Y,Y
20121015,19:00,20121015,13:00,Y,Y
20121015,20:00,20121015,14:00,Y,Y
20121015,21:00,20121015,15:00,Y,Y
20121015,22:00,20121015,16:00,Y,Y
20121015,23:00,20121015,17:00,Y,Y
20121016,0:00,20121015,18:00,N,N
20121016,1:00,20121015,19:00,N,N
20121016,2:00,20121015,20:00,N,N
20121016,3:00,20121015,21:00,N,N
20121016,4:00,20121015,22:00,N,N
20121016,5:00,20121015,23:00,N,N
20121016,6:00,20121016,0:00,N,N
20121016,7:00,20121016,1:00,N,N
20121016,8:00,20121016,2:00,N,N
20121016,9:00,20121016,3:00,N,N
20121016,10:00,20121016,4:00,N,N
20121016,11:00,20121016,5:00,N,N
20121016,12:00,20121016,6:00,N,N
20121016,13:00,20121016,7:00,N,N
20121016,14:00,20121016,8:00,N,N
20121016,15:00,20121016,9:00,Y,Y
20121016,16:00,20121016,10:00,Y,Y
20121016,17:00,20121016,11:00,Y,Y
20121016,18:00,20121016,12:00,Y,Y
20121016,19:00,20121016,13:00,Y,Y
20121016,20:00,20121016,14:00,Y,Y
20121016,21:00,20121016,15:00,Y,Y
20121016,22:00,20121016,16:00,Y,Y
20121016,23:00,20121016,17:00,Y,Y
20121017,0:00,20121016,18:00,N,N
